"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Habitica REST API","Аутентификация","Логин","0","0","2","0","0"
"Habitica REST API","Аутентификация","Авторизация запросов","0","0","1","0","0"
"Habitica REST API","Задачи","Создание задач","0","0","2","0","0"
"Habitica REST API","Профиль пользователя","Просмотр профиля","0","0","1","0","0"
"Habitica REST API","Теги","Создание тегов","0","0","1","0","0"
"Habitica REST API","Задачи","Редактирование задач","0","0","1","0","0"
"Habitica REST API","Задачи","Удаление задач","0","0","1","0","0"
"Habitica REST API","Аутентификация","Регистрация","0","0","2","0","0"
"Habitica REST API","Профиль пользователя","Редактирование профиля","0","0","1","0","0"
"Habitica REST API","Задачи","Список задач","0","0","1","0","0"
"Habitica REST API","Теги","Редактирование и удаление тегов","0","0","1","0","0"
"Habitica REST API","Задачи","Выполнение задач","0","0","1","0","0"
